Gene,Start,End,Length (nt),Strand,Locus Tag,CDS,Pseudo,PEC,Gerdes,LB medium,,,,,M9 glucose (0.2%) medium,,,,
ykfM,238257,238736,480,-,b4586,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
yafU,238746,239102,357,-,b0218,Y,Y,NE,NE,1,1.17 ,1,1.27 ,E,10,2.06,10,2.24,NE
yafF,239106,239378,273,+,b4503,Y,Y,NE,NE,4,6.11 ,4,6.59 ,NE,101,27.21,101,29.36,NE
yafV,239419,240189,771,-,b0219,Y,N,NE,NE,1576,852.18 ,1565,917.65 ,NE,1991,189.92,1979,204.71,NE
ivy,240343,240816,474,+,b0220,Y,N,NE,NE,20,17.59 ,11,10.47 ,NE,19,2.95,18,3.02,NE
fadE,240859,243303,2445,-,b0221,Y,N,NE,NE,1274,217.23 ,1262,233.94 ,NE,6238,187.64,5890,192.61,NE
gmhA,243543,244121,579,+,b0222,Y,N,NE,NE,84,60.48 ,84,65.95 ,NE,10,1.27,9,1.25,E
yafJ,244327,245094,768,+,b0223,Y,N,NE,NE,79,42.88 ,79,46.52 ,NE,311,29.78,308,31.99,NE
yafK,245065,245805,741,-,b0224,Y,N,NE,NE,114,64.14 ,109,66.73 ,NE,1883,186.89,1245,134.45,NE
yafQ,245961,246239,279,-,b0225,Y,N,NE,NE,7,10.46 ,7,11.44 ,NE,670,176.61,669,192.95,NE
dinJ,246242,246502,261,-,b0226,Y,N,NE,NE,16,25.56 ,16,27.68 ,NE,86,24.23,85,25.94,NE
yafL,246712,247461,750,+,b0227,Y,N,NE,NE,1009,560.87 ,931,562.51 ,NE,3902,382.63,3707,395.12,NE
rayT,247637,248134,498,+,b0228,Y,N,NE,NE,69,57.76 ,63,57.35 ,NE,235,34.70,229,36.77,NE
lfhA,248358,250070,1713,-,b0229,Y,Y,NE,NE,1538,374.31 ,1491,394.16 ,NE,6389,274.30,6242,291.10,NE
lafU,250072,250827,756,+,b0230,Y,Y,NE,NE,106,58.45 ,100,59.90 ,NE,2066,200.98,2057,217.36,NE
dinB,250898,251953,1056,+,b0231,Y,N,NE,NE,168,66.32 ,162,69.48 ,NE,225,15.67,203,15.36,NE
yafN,252005,252298,294,+,b0232,Y,N,NE,NE,2,2.84 ,2,3.09 ,NE,35,8.76,17,4.63,NE
yafO,252301,252699,399,+,b0233,Y,N,NE,NE,65,67.92 ,64,72.70 ,NE,191,35.21,191,38.28,NE
yafP,252709,253161,453,+,b0234,Y,N,NE,NE,25,23.01 ,25,24.99 ,NE,114,18.51,114,20.11,NE
ykfJ,253479,253685,207,+,b0235,Y,Y,NE,NE,1,2.01 ,1,2.18 ,E,3,1.07,3,1.16,E
prfH,253702,254202,501,+,b0236,Y,Y,NE,NE,82,68.23 ,77,69.63 ,NE,2157,316.64,2148,342.68,NE
pepD,254259,255716,1458,-,b0237,Y,N,NE,NE,989,282.79 ,971,301.65 ,NE,18772,946.90,18713,1025.52,NE
gpt,255977,256435,459,+,b0238,Y,N,NE,NE,101,91.74 ,97,95.60 ,NE,376,60.25,375,65.20,NE
frsA,256527,257771,1245,+,b0239,Y,N,NE,NE,134,44.87 ,130,47.33 ,NE,1294,76.44,1274,81.83,NE
crl,257829,259006,1178,+,b0240,Y,Y,NE,NE,407,144.04 ,395,152.20 ,NE,3817,238.30,3809,258.90,NE
phoE,259045,260100,1056,-,b0241,Y,N,NE,NE,150,59.22 ,149,63.91 ,NE,937,65.26,912,69.01,NE
proB,260388,261491,1104,+,b0242,Y,N,NE,NE,649,245.08 ,526,215.84 ,NE,34,2.26,30,2.17,E
proA,261503,262756,1254,+,b0243,Y,N,NE,NE,411,136.64 ,387,139.81 ,NE,60,3.52,53,3.38,NE
thrW,262871,262946,76,+,b0244,N,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
ykfN,263150,263212,63,-,b4626,Y,Y,NE,NE,1,6.62 ,1,7.07 ,NE,0,0.00,0,0.00,E
ykfI,263328,263669,342,-,b0245,Y,N,NE,E,34,41.45 ,28,37.18 ,NE,206,44.30,158,37.01,NE
yafW,263690,264007,318,-,b0246,Y,N,NE,NE,366,479.83 ,361,511.91 ,NE,1431,330.95,1362,340.71,NE
ykfH,264026,264247,222,-,b4504,Y,N,NE,NE,94,176.52 ,92,186.19 ,NE,414,137.15,382,136.38,NE
ykfG,264256,264732,477,-,b0247,Y,N,NE,NE,191,166.93 ,169,161.23 ,NE,672,103.61,537,90.37,NE
yafX,264748,265206,459,-,b0248,Y,N,NE,NE,56,50.86 ,54,53.22 ,NE,58,9.29,58,10.08,NE
ykfF,265304,265543,240,-,b0249,Y,N,NE,NE,53,92.07 ,52,98.54 ,NE,56,17.16,56,18.72,NE
ykfB,265620,266087,468,-,b0250,Y,N,NE,NE,184,163.91 ,166,160.20 ,NE,1450,227.86,1441,245.32,NE
yafY,266110,266553,444,-,b0251,Y,N,NE,NE,209,196.24 ,206,210.49 ,NE,1012,167.63,978,176.29,NE
ykfL,266553,266774,222,-,b4627,Y,Y,NE,NE,37,69.48 ,37,74.88 ,NE,188,62.28,187,66.76,NE
ykfK,266776,266967,192,-,b4628,Y,Y,NE,NE,27,58.63 ,23,54.48 ,NE,53,20.30,47,19.64,NE
yafZ,267184,268005,822,-,b0252,Y,N,NE,NE,153,77.60 ,146,80.30 ,NE,1157,103.52,1154,111.97,NE
ykfA,268097,268960,864,-,b0253,Y,N,NE,NE,177,85.41 ,170,89.04 ,NE,757,64.44,747,69.02,NE
perR,269289,270182,894,-,b0254,Y,N,NE,NE,51,23.78 ,51,25.87 ,NE,2670,219.65,2663,238.26,NE
insN,270278,272189,1912,+,b4587,Y,Y,NE,NE,644,140.42 ,424,100.43 ,NE,4213,162.05,2921,122.06,NE
insI1,270603,271754,1152,+,b0256,Y,N,NE,NE,17,6.15 ,16,6.29 ,NE,85,5.43,78,5.41,NE
eyeA,272580,272654,75,+,b4690,N,N,NE,NE,68,377.99 ,35,217.78 ,NE,236,231.42,188,206.37,NE
ykfC,272847,273954,1108,+,b0258,Y,Y,NE,NE,735,276.55 ,716,292.65 ,NE,1566,103.95,1554,112.05,NE
insH1,274101,275117,1017,-,b0259,Y,N,NE,NE,783,320.98 ,742,330.14 ,NE,7320,529.35,5621,441.19,NE
mmuP,275325,276728,1404,+,b0260,Y,N,NE,NE,666,197.76 ,636,205.22 ,NE,11886,622.62,11551,657.52,NE
mmuM,276715,277647,933,+,b0261,Y,N,NE,NE,910,406.62 ,903,439.28 ,NE,4045,318.85,3847,330.14,NE
afuC,277756,278802,1047,-,b0262,Y,N,NE,NE,1514,602.85 ,1514,655.44 ,NE,3049,214.17,3030,231.40,NE
afuB,278814,279161,348,-,b0263,Y,Y,NE,NE,13,15.57 ,13,16.94 ,NE,171,36.14,159,36.54,NE
insB1,279178,279681,504,-,b0264,Y,N,NE,NE,262,216.72 ,262,235.40 ,NE,3683,537.43,3682,583.61,NE
insA,279600,279875,276,-,b0265,Y,N,NE,E,62,93.65 ,28,46.32 ,NE,295,78.61,79,23.06,NE
insI1,279931,280104,174,+,b4708,Y,Y,NE,NE,0,0.00 ,0,0.00 ,E,24,10.14,24,10.90,NE
insX,280114,280362,249,-,b4505,Y,Y,NE,NE,3,5.02 ,2,3.64 ,NE,160,47.26,104,33.40,NE
yagB,280427,280735,309,-,b0266,Y,Y,NE,NE,59,79.60 ,59,86.31 ,NE,523,124.48,523,134.96,NE
yagA,280829,281983,1155,-,b0267,Y,N,NE,NE,444,160.26 ,428,167.86 ,NE,2219,141.30,2051,141.90,NE
yagE,282278,283186,909,+,b0268,Y,N,NE,NE,285,130.71 ,259,129.00 ,NE,678,54.86,668,58.70,NE
yagF,283201,285168,1968,+,b0269,Y,N,NE,NE,799,169.26 ,757,174.17 ,NE,776,29.00,699,28.37,NE
yagG,285395,286777,1383,+,b0270,Y,N,NE,E,823,248.09 ,786,257.81 ,NE,4184,222.50,4076,235.85,NE
yagH,286789,288399,1611,+,b0271,Y,N,NE,E,987,255.42 ,935,262.85 ,NE,3150,143.80,3113,154.38,NE
yagI,288404,289162,759,-,b0272,Y,N,NE,NE,881,483.91 ,865,515.90 ,NE,3112,301.54,3104,326.59,NE
argF,289301,290305,1005,-,b0273,Y,N,NE,NE,1165,483.27 ,1137,512.45 ,NE,2307,168.82,2249,178.81,NE
ykgS,290429,290633,205,+,b4688,Y,Y,NE,NE,37,75.25 ,37,81.62 ,NE,116,41.62,116,45.14,NE
insB1,290649,291152,504,-,b0274,Y,N,NE,NE,281,232.44 ,280,251.58 ,NE,3593,524.30,3591,569.18,NE
insA,291071,291346,276,-,b0275,Y,N,NE,NE,76,114.80 ,34,56.25 ,NE,291,77.54,115,33.56,NE
yagJ,291404,292231,828,+,b0276,Y,Y,NE,NE,454,228.59 ,448,245.75 ,NE,2742,243.55,2742,265.34,NE
yagK,292322,292948,627,-,b0277,Y,N,NE,NE,2,1.33 ,2,1.45 ,E,150,17.59,148,18.93,NE
yagL,293220,293918,699,-,b0278,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,87,9.15,85,9.72,NE
yagM,293945,294799,855,-,b0279,Y,N,NE,NE,1,0.49 ,1,0.53 ,E,30,2.58,24,2.24,NE
yagN,295139,295579,441,-,b0280,Y,N,NE,NE,5,4.73 ,5,5.15 ,NE,144,24.01,134,24.33,NE
intF,295696,297096,1401,-,b0281,Y,N,NE,NE,38,11.31 ,37,11.97 ,NE,404,21.21,403,22.99,NE
ptwF,297206,297254,49,+,b4629,N,Y,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
yagP,297381,297719,339,-,b4694,Y,Y,NE,NE,16,19.68 ,15,20.11 ,NE,104,22.56,95,22.47,NE
ykgT,297714,297791,78,-,b4695,Y,Y,NE,NE,24,128.28 ,22,131.03 ,NE,450,424.30,430,451.78,NE
paoD,297770,298726,957,-,b0283,Y,N,NE,NE,278,121.11 ,247,116.88 ,NE,2109,162.08,1752,146.26,NE
paoC,298736,300934,2199,-,b0284,Y,N,NE,NE,410,77.73 ,322,66.36 ,NE,1308,43.75,1103,40.10,NE
paoB,300931,301887,957,-,b0285,Y,N,NE,E,1785,777.60 ,1698,803.51 ,NE,5431,417.37,5267,439.68,NE
paoA,301884,302573,690,-,b0286,Y,N,NE,NE,87,52.57 ,82,53.92 ,NE,439,46.79,424,49.18,NE
yagU,302991,303605,615,+,b0287,Y,N,NE,NE,178,120.66 ,174,127.94 ,NE,741,88.61,712,92.35,NE
ykgJ,303853,304182,330,-,b0288,Y,N,NE,NE,61,77.06 ,53,73.16 ,NE,681,151.77,572,139.30,NE
ecpE,304495,305205,711,-,b0289,Y,N,NE,E,233,136.62 ,225,143.21 ,NE,1135,117.40,1021,114.64,NE
ecpD,305174,306817,1644,-,b0290,Y,N,NE,NE,478,121.22 ,460,126.83 ,NE,7508,335.87,7387,359.31,NE
ecpC,306807,309332,2526,-,b0291,Y,N,NE,NE,909,150.02 ,837,150.28 ,NE,18977,552.52,18684,591.78,NE
ecpB,309358,310026,669,-,b0292,Y,N,NE,NE,132,82.26 ,124,83.79 ,NE,894,98.28,708,84.39,NE
ecpA,310084,310671,588,-,b0293,Y,N,NE,NE,340,241.06 ,327,252.46 ,NE,632,79.05,606,82.53,NE
ecpR,310746,311336,591,-,b0294,Y,N,NE,NE,7,4.94 ,7,5.37 ,NE,13,1.62,13,1.76,E
ykgL,312112,312339,228,+,b0295,Y,N,NE,NE,12,21.94 ,12,24.05 ,NE,193,62.26,193,68.24,NE
ykgO,312374,312514,141,-,b4506,Y,N,NE,NE,2,5.91 ,2,6.46 ,NE,43,22.43,21,11.97,NE
ykgM,312514,312777,264,-,b0296,Y,N,NE,NE,5,7.90 ,5,8.54 ,NE,132,36.77,76,22.91,NE
ykgR,313141,313242,102,-,b4671,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
ykgP,313716,313805,90,-,b4630,Y,Y,NE,NE,0,0.00 ,0,0.00 ,E,3,2.45,3,2.69,NE
eaeH,314357,315228,872,+,b0297,Y,Y,NE,NE,454,217.06 ,423,219.34 ,NE,3402,286.93,3148,287.96,NE
insE1,315291,315590,300,+,b0298,Y,N,NE,E,25,34.74 ,24,36.25 ,NE,459,112.52,455,121.24,NE
insF1,315587,316453,867,+,b0299,Y,N,NE,NE,643,309.19 ,631,329.24 ,NE,915,77.62,859,79.07,NE
ykgA,316486,317169,684,-,b0300,Y,Y,NE,NE,81,49.37 ,22,14.60 ,NE,125,13.44,48,5.62,NE
ykgQ,317439,317567,129,+,b4631,Y,Y,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
rclC,317726,318319,594,-,b0301,Y,N,NE,NE,111,77.91 ,111,84.75 ,NE,4584,567.56,4583,617.32,NE
rclB,318331,318567,237,-,b0303,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
rclA,318676,320001,1326,-,b0304,Y,N,NE,NE,126,39.61 ,126,43.13 ,NE,2307,127.96,2305,139.18,NE
rclR,320227,321081,855,+,b0305,Y,N,NE,NE,412,200.89 ,412,218.25 ,NE,2727,234.57,2715,253.72,NE
ykgE,321608,322327,720,+,b0306,Y,N,NE,NE,59,34.16 ,58,36.42 ,NE,1439,146.99,1436,159.05,NE
ykgF,322338,323765,1428,+,b0307,Y,N,NE,NE,119,34.74 ,119,37.81 ,NE,2217,114.18,2216,124.22,NE
ykgG,323758,324453,696,+,b0308,Y,N,NE,NE,75,44.92 ,75,48.86 ,NE,2434,257.20,2434,279.70,NE
ykgH,324696,325364,669,-,b0310,Y,N,NE,NE,2,1.25 ,2,1.35 ,E,10,1.10,10,1.19,E
betA,325577,327247,1671,-,b0311,Y,N,NE,NE,868,216.56 ,859,232.69 ,NE,2456,108.09,2454,117.27,NE
betB,327261,328733,1473,-,b0312,Y,N,NE,NE,1466,414.92 ,1132,347.77 ,NE,8221,410.46,7706,417.64,NE
betI,328747,329334,588,-,b0313,Y,N,NE,NE,220,155.98 ,201,155.18 ,NE,833,104.19,793,108.00,NE
betT,329463,331496,2034,+,b0314,Y,N,NE,NE,835,171.15 ,818,182.37 ,NE,7440,269.01,7091,278.88,NE
yahA,332371,333459,1089,+,b0315,Y,N,NE,NE,248,94.94 ,247,102.87 ,NE,3654,246.77,3650,268.17,NE
yahB,333501,334433,933,-,b0316,Y,N,NE,NE,42,18.77 ,42,20.43 ,NE,538,42.41,516,44.28,NE
yahC,334525,335022,498,-,b0317,Y,N,NE,NE,145,121.39 ,145,131.99 ,NE,1451,214.28,1445,232.04,NE
yahD,335280,335885,606,+,b0318,Y,N,NE,NE,468,321.96 ,465,347.42 ,NE,2233,271.00,2233,294.31,NE
yahE,335925,336788,864,+,b0319,Y,N,NE,NE,115,55.49 ,113,59.18 ,NE,676,57.54,657,60.70,NE
yahF,336778,338325,1548,+,b0320,Y,N,NE,E,269,72.45 ,261,76.41 ,NE,1836,87.23,1778,91.83,NE
yahG,338325,339743,1419,+,b0321,Y,N,NE,NE,483,141.90 ,452,144.18 ,NE,3693,191.40,3653,205.55,NE
yahI,340165,341115,951,+,b0323,Y,N,NE,NE,479,209.98 ,471,224.41 ,NE,2789,215.69,2738,230.13,NE
yahJ,341125,342507,1383,+,b0324,Y,N,NE,NE,1437,433.18 ,1376,451.34 ,NE,3819,203.09,3757,217.39,NE
yahK,342884,343933,1050,+,b0325,Y,N,NE,NE,732,290.64 ,729,314.62 ,NE,4169,292.01,4168,317.32,NE
yahL,344176,344991,816,+,b0326,Y,N,NE,NE,5,2.55 ,5,2.77 ,NE,30,2.70,30,2.93,NE
yahM,345404,345649,246,+,b0327,Y,N,NE,NE,20,33.89 ,20,36.89 ,NE,26,7.77,26,8.46,NE
yahN,345666,346337,672,-,b0328,Y,N,NE,NE,2657,1648.36 ,2640,1775.18 ,NE,43821,4795.86,43767,5191.69,NE
yahO,346484,346759,276,+,b0329,Y,N,NE,NE,22,33.23 ,22,36.40 ,NE,78,20.78,76,22.18,NE
prpR,346857,348443,1587,-,b0330,Y,N,NE,NE,596,156.57 ,591,168.87 ,NE,1502,69.61,1495,75.36,NE
prpB,348682,349572,891,+,b0331,Y,N,NE,NE,773,361.69 ,724,368.54 ,NE,1091,90.05,908,81.54,NE
prpC,350012,351181,1170,+,b0333,Y,N,NE,NE,622,221.63 ,609,235.52 ,NE,3323,208.88,3271,223.16,NE
prpD,351215,352666,1452,+,b0334,Y,N,NE,NE,928,266.45 ,928,289.58 ,NE,2934,148.61,2929,161.24,NE
prpE,352706,354592,1887,+,b0335,Y,N,NE,NE,4910,1084.78 ,4839,1162.75 ,NE,19084,743.79,18958,803.61,NE
codB,354922,356181,1260,+,b0336,Y,N,NE,NE,683,225.99 ,653,234.69 ,NE,4679,273.11,4627,293.36,NE
codA,356171,357454,1284,+,b0337,Y,N,NE,NE,1413,458.78 ,1381,487.91 ,NE,59979,3435.48,59637,3716.95,NE
cynR,357791,358690,900,-,b0338,Y,N,NE,NE,439,203.35 ,433,218.02 ,NE,2552,208.54,2499,221.97,NE
cynT,358799,359458,660,+,b0339,Y,N,NE,NE,367,231.82 ,363,248.91 ,NE,1686,187.87,1663,201.16,NE
cynS,359489,359959,471,+,b0340,Y,N,NE,E,91,80.55 ,90,86.25 ,NE,555,86.66,526,88.93,NE
cynX,359992,361146,1155,+,b0341,Y,N,NE,NE,5785,2088.10 ,5489,2152.74 ,NE,14580,928.39,13631,943.08,NE
lacA,361249,361860,612,-,b0342,Y,N,NE,NE,413,281.34 ,159,117.53 ,NE,1694,203.57,910,118.66,NE
lacY,361926,363179,1254,-,b0343,Y,N,NE,NE,1296,430.86 ,1160,419.07 ,NE,16017,939.37,15525,989.42,NE
lacZ,363231,366305,3075,-,b0344,Y,N,NE,NE,1872,253.80 ,1812,267.22 ,NE,16056,384.01,15433,401.49,NE
lacI,366428,367510,1083,-,b0345,Y,N,NE,NE,919,353.77 ,898,376.26 ,NE,7801,529.76,7620,563.23,NE
mhpR,367587,368420,834,-,b0346,Y,N,NE,NE,931,465.39 ,925,503.44 ,NE,2129,187.74,2095,201.14,NE
mhpA,368611,370275,1665,+,b0347,Y,N,NE,NE,2978,745.66 ,2395,651.32 ,NE,10291,454.57,9679,464.35,NE
mhpB,370277,371221,945,+,b0348,Y,N,NE,NE,2946,1299.67 ,2584,1239.66 ,NE,6542,509.13,5905,499.75,NE
mhpC,371239,372105,867,+,b0349,Y,N,NE,NE,82,39.43 ,78,40.70 ,NE,630,53.44,533,49.06,NE
mhpD,372115,372924,810,+,b0350,Y,N,NE,NE,358,184.26 ,342,191.13 ,NE,5266,478.13,1762,173.71,NE
mhpF,372921,373871,951,+,b0351,Y,N,NE,NE,564,247.25 ,536,255.38 ,NE,1319,102.00,1257,105.65,NE
mhpE,373868,374881,1014,+,b0352,Y,N,NE,NE,912,374.96 ,879,392.35 ,NE,2343,169.94,1965,154.73,NE
mhpT,375459,376670,1212,+,b0353,Y,N,NE,NE,3704,1274.09 ,3597,1343.71 ,NE,20091,1219.14,18783,1237.81,NE
yaiL,376772,377311,540,+,b0354,Y,N,NE,NE,392,302.64 ,380,319.40 ,NE,1446,196.94,1444,214.11,NE
frmB,377535,378368,834,-,b0355,Y,N,NE,NE,3227,1613.11 ,3215,1749.78 ,NE,9951,877.51,9935,953.88,NE
frmA,378462,379571,1110,-,b0356,Y,N,NE,NE,765,287.32 ,752,306.76 ,NE,2252,149.21,2228,160.33,NE
frmR,379606,379881,276,-,b0357,Y,N,NE,E,51,77.04 ,49,81.06 ,NE,266,70.88,264,77.05,NE
yaiO,380069,380842,774,-,b0358,Y,N,NE,NE,124,66.79 ,124,72.40 ,NE,1388,131.89,1385,142.66,NE
yaiX,380844,382872,2029,-,b4579,Y,Y,NE,NE,252,51.78 ,246,54.99 ,NE,1737,62.96,1671,65.89,NE
insC1,381351,381716,366,+,b0360,Y,N,NE,NE,28,31.89 ,28,34.54 ,NE,307,61.69,307,66.80,NE
insD1,381674,382579,906,+,b0361,Y,N,NE,NE,202,92.95 ,201,100.48 ,NE,1249,101.39,1166,102.82,NE
yaiP,382739,383935,1197,-,b0363,Y,N,NE,NE,1483,516.51 ,1481,560.79 ,NE,9801,602.18,9790,653.96,NE
yaiS,384059,384616,558,-,b0364,Y,N,NE,E,28,20.92 ,28,22.71 ,NE,13,1.71,13,1.86,E
tauA,385232,386194,963,+,b0365,Y,N,NE,NE,1169,506.08 ,1088,511.37 ,NE,7943,606.61,7230,599.47,NE
tauB,386207,386974,768,+,b0366,Y,N,NE,NE,971,527.09 ,871,512.88 ,NE,6634,635.28,6213,645.39,NE
tauC,386971,387798,828,+,b0367,Y,N,NE,NE,2951,1485.83 ,2798,1534.85 ,NE,11597,1030.07,10999,1064.37,NE
tauD,387795,388646,852,+,b0368,Y,N,NE,NE,1666,815.20 ,1255,667.36 ,NE,4555,393.19,3924,368.10,NE
hemB,388753,389727,975,-,b0369,Y,N,E,E,107,45.75 ,4,1.86 ,E,42,3.17,6,0.49,E
yaiT,390251,394418,4168,+,b4580,Y,Y,NE,NE,1146,114.63 ,1137,123.57 ,NE,13981,246.70,13784,264.27,NE
insF1,391739,392605,867,-,b0372,Y,N,NE,NE,708,340.44 ,695,362.63 ,NE,877,74.39,808,74.37,NE
insE1,392602,392901,300,-,b0373,Y,N,NE,NE,11,15.29 ,10,15.11 ,NE,408,100.02,408,108.72,NE
yaiV,394506,395129,624,+,b0375,Y,N,NE,NE,26,17.37 ,21,15.20 ,NE,201,23.69,191,24.39,NE
ampH,395130,396287,1158,-,b0376,Y,N,NE,NE,997,358.94 ,974,380.92 ,NE,4224,268.27,4172,287.83,NE
sbmA,396639,397859,1221,+,b0377,Y,N,NE,NE,184,62.83 ,173,64.11 ,NE,1068,64.33,1038,67.86,NE
yaiW,397872,398966,1095,+,b0378,Y,N,NE,NE,1312,499.52 ,1293,535.30 ,NE,3383,227.22,3315,242.11,NE
yaiY,399025,399333,309,-,b0379,Y,N,NE,E,29,39.13 ,16,23.40 ,NE,2406,572.65,1898,489.78,NE
yaiZ,399593,399805,213,+,b0380,Y,N,NE,NE,82,160.50 ,82,173.53 ,NE,1971,680.55,1937,723.13,NE
ddlA,399829,400923,1095,-,b0381,Y,N,NE,NE,472,179.70 ,460,190.44 ,NE,9382,630.14,9354,683.16,NE
iraP,401386,401646,261,+,b0382,Y,N,NE,NE,25,39.93 ,24,41.52 ,NE,271,76.36,263,80.26,NE
phoA,401747,403162,1416,+,b0383,Y,N,NE,NE,797,234.65 ,775,247.77 ,NE,2685,139.46,2461,138.80,NE
psiF,403281,403601,321,+,b0384,Y,N,NE,NE,83,107.80 ,77,108.08 ,NE,466,106.77,463,114.65,NE
yaiC,403703,404818,1116,+,b0385,Y,N,NE,NE,942,351.90 ,939,380.81 ,NE,5917,389.93,5915,423.17,NE
proC,404835,405644,810,-,b0386,Y,N,NE,E,2132,1097.32 ,2132,1191.46 ,NE,16,1.45,16,1.58,E
yaiI,405764,406222,459,+,b0387,Y,N,NE,NE,205,186.20 ,192,189.23 ,NE,643,103.03,636,110.58,NE
aroL,406405,406929,525,+,b0388,Y,N,NE,NE,233,185.02 ,227,195.13 ,NE,315,44.13,285,43.22,NE
yaiA,406979,407170,192,+,b0389,Y,N,NE,NE,111,241.02 ,109,258.19 ,NE,590,226.00,590,246.54,NE
aroM,407428,408105,678,+,b0390,Y,N,NE,NE,146,89.77 ,141,94.51 ,NE,2118,229.75,2107,249.13,NE
yaiE,408177,408461,285,+,b0391,Y,N,NE,NE,148,216.49 ,143,228.42 ,NE,256,66.06,250,70.45,NE
ykiA,408609,408950,342,+,b0392,Y,Y,NE,NE,130,158.47 ,129,171.27 ,NE,2852,613.31,2845,666.36,NE
rdgC,409108,410019,912,-,b0393,Y,N,NE,NE,233,106.51 ,229,113.65 ,NE,1862,150.15,1806,158.12,NE
mak,410144,411052,909,+,b0394,Y,N,NE,NE,483,221.52 ,432,215.17 ,NE,2189,177.11,1967,172.84,NE
araJ,411297,412481,1185,-,b0396,Y,N,NE,NE,396,139.32 ,355,135.90 ,NE,6849,425.07,6554,442.62,NE
sbcC,412607,415753,3147,-,b0397,Y,N,NE,NE,1721,227.99 ,1675,241.21 ,NE,7702,179.99,7508,190.73,NE
sbcD,415750,416952,1203,-,b0398,Y,N,NE,NE,2524,874.69 ,2490,937.74 ,NE,8217,502.34,8123,539.66,NE
phoB,417142,417831,690,+,b0399,Y,N,NE,NE,206,124.47 ,202,132.83 ,NE,1482,157.96,1471,170.64,NE
phoR,417889,419184,1296,+,b0400,Y,N,NE,NE,377,121.27 ,340,118.91 ,NE,1464,83.08,1445,89.15,NE
brnQ,419591,420910,1320,+,b0401,Y,N,NE,NE,1163,367.31 ,1136,389.47 ,NE,10104,562.95,9700,586.67,NE
proY,420986,422359,1374,+,b0402,Y,N,NE,NE,1384,419.93 ,1376,453.12 ,NE,6818,364.94,6621,384.63,NE
malZ,422518,424332,1815,+,b0403,Y,N,NE,NE,2042,469.04 ,2025,505.22 ,NE,13391,542.61,13375,588.67,NE
acpH,424337,424918,582,-,b0404,Y,N,NE,NE,47,33.67 ,47,36.69 ,NE,945,119.42,943,129.87,NE
queA,425011,426081,1071,+,b0405,Y,N,NE,NE,273,106.27 ,235,99.26 ,NE,2159,148.26,1587,118.25,NE
tgt,426137,427264,1128,+,b0406,Y,N,NE,NE,195,72.07 ,192,77.26 ,NE,587,38.27,586,41.60,NE
yajC,427287,427619,333,+,b0407,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,2,0.44,2,0.48,E
secD,427647,429494,1848,+,b0408,Y,N,E,E,6,1.35 ,5,1.23 ,E,40,1.59,17,0.74,E
secF,429505,430476,972,+,b0409,Y,N,E,E,3,1.29 ,1,0.47 ,E,29,2.19,15,1.23,E
yajD,430605,430952,348,+,b0410,Y,N,NE,NE,1,1.20 ,1,1.30 ,E,10,2.11,10,2.30,NE
tsx,431129,432013,885,-,b0411,Y,N,NE,NE,100,47.11 ,97,49.74 ,NE,1509,125.40,596,53.91,NE
yajI,432312,432851,540,-,b0412,Y,N,NE,NE,104,80.29 ,80,67.24 ,NE,2952,402.05,2908,431.19,NE
nrdR,433002,433451,450,+,b0413,Y,N,NE,NE,42,38.91 ,34,34.24 ,NE,122,19.94,59,10.48,NE
ribD,433455,434558,1104,+,b0414,Y,N,E,E,8,3.02 ,7,2.87 ,NE,20,1.33,16,1.16,E
ribE,434647,435117,471,+,b0415,Y,N,E,E,1,0.89 ,1,0.96 ,E,26,4.06,26,4.40,NE
nusB,435137,435556,420,+,b0416,Y,N,E,E,71,70.48 ,70,75.21 ,NE,31,5.43,13,2.46,NE
thiL,435634,436611,978,+,b0417,Y,N,E,E,110,46.89 ,79,36.68 ,NE,27,2.03,27,2.21,NE
pgpA,436589,437107,519,+,b0418,Y,N,NE,E,73,58.64 ,68,59.18 ,NE,1020,144.54,937,143.87,NE
yajO,437161,438135,975,-,b0419,Y,N,NE,NE,296,126.57 ,217,101.08 ,NE,2770,208.94,1146,94.17,NE
dxs,438315,440177,1863,-,b0420,Y,N,E,E,11,2.46 ,1,0.24 ,E,115,4.54,24,1.03,E
ispA,440202,441101,900,-,b0421,Y,N,E,E,6,2.78 ,3,1.51 ,E,21,1.72,17,1.51,E
xseB,441101,441343,243,-,b0422,Y,N,NE,NE,34,58.33 ,33,61.69 ,NE,77,23.30,72,23.75,NE
thiI,441549,442997,1449,+,b0423,Y,N,NE,NE,266,76.53 ,264,82.57 ,NE,2545,129.17,2545,140.41,NE
yajL,443051,443641,591,-,b0424,Y,N,NE,NE,688,485.32 ,627,481.39 ,NE,2160,268.79,2145,290.52,NE
